"","repoID","repoURL","user_type","num_forks","num_commits","num_analyzed_commit","num_PR","num_issue","analyzed_pr","ratio_analyzedPR","num_pr_has_linked_issue","central_management_index","num_reject_duplicate_pr","ratio_reject_duplicate_pr","num_modularity_case","modularity","issue_before_PR","issue_after_PR","ratio_mergedPR","ratio_mergedPR_AllType","ratio_rejectedPR","ratio_rejectedPR_AllType","code_changes_size_median_file","code_changes_size_mean_file","code_changes_size_median_loc","code_changes_size_mean_loc","language","size","project_type","num_coreMember","num_fork_ght","repo_age","repoID.1","easiness_mean_external","easiness_median_external","easiness_geoMean_external","easiness_filtered_mean_external","easiness_filtered_median_external","easiness_filtered_geoMean_external","easiness_merged_mean_external","easiness_merged_median_external","easiness_merged_geoMean_external","easiness_filtered_merged_mean_external","easiness_filtered_merged_median_external","easiness_rejected_mean_external","easiness_rejected_median_external","easiness_rejected_geoMean_external","easiness_filtered_rejected_mean_external","easiness_filtered_merged_geoMean_external","easiness_filtered_rejected_median_external","easiness_filtered_rejected_geoMean_external","projectID","num_PR.1","num_merged_PR","ratio_merged_PR","num_merged_PR_allType","ratio_merged_PR_allType","num_closed_PR","num_reject_PR","num_open_PR","num_PR_preCommunicate","num_PR_preCommunicate_external","analyzed_PR","num_rejected_PR_duplicate","ratio_rejected_PR_duplicate","num_PR_link_to_Issue","central_mgmt_index","num_PR_link_to_Issue_external","central_mgmt_index_external","central_mgmt_index_IssueEarly","num_PR_link_to_Issue_early","num_issue.1","new_num_merged_allType","new_ratio_merged_allType","new_ratio_merged_PR_ofClosedPR","num_PR_withTest","ratio_PR_withTest","num_PR_withTest_external","ratio_PR_withTest_external","num_PR_withTest_external_merged","ratio_PR_withTest_external_merged","num_PR_merged_external_noRobot","ratio_PR_merged_external_noRobot","median_mergePR_exprience","median_submitPR_exprience","ratio_PR_preCommunicate","num_PR_wip_preCom_external","ratio_PR_wip_preCom_external","num_PR_reject_external","num_allPR_wip_preCom","ratio_allPR_wip_preCom","num_closed_PR_external","ratio_PR_preCommunicate_external","num_PR_wip_external","ratio_PR_wip_external","num_PR_wip_and_preComm_external","ratio_PR_wip_and_preComm_external","num_closed_PR_external_WIP","num_closed_PR_external_preComm","ratio_PR_preCommunicate_external_of_linkedPR_external","new_num_PR_link_to_Issue_external","num_PR_preCommunicate_wip_both_external","ratio_PR_preComm_wip_both_external_of_linkedPR_external","ratio_social_connection","ratio_social_connection_external","hotness_median","hotness_mean","hotness_median_external","hotness_mean_external","hotness_median_external_correct","hotness_mean_external_correct","projectID.1","num_fork_total","num_sampled_fork","num_Fork_merge_PR","num_Fork_submit_PR","ratio_Fork_merge_PR","ratio_Fork_submit_PR","num_star","num_watcher","has_issue","network_count","subscribers_count","num_fork_attemptContribute","ratio_fork_attemptContribute","projectID.2","Modularity_median","Mod_allFile_500","Mod_filterFile_500","Mod_allFile_1000","Mod_filterFile_1000","Mod_allFile_1000_withMergeCommits","Mode_filterFile_1000_withMergeCommits","num_file_all","num_file_afterFilter","num_commit","Mod_allFile_50","Mod_filterFile_50","Mod_allFile_100","Mod_filterFile_100","mod_external_50_allFile","mod_external_50_filterFile","projectID.3","num_Dup_label_comment_PR_all","ratio_Dup_label_comment_PR_of_all_closed_PR","num_Dup_label_comment_PR_external","ratio_Dup_label_comment_PR_of_external_closed_PR","num_Dup_label_comment_hasKeyword_PR_all","ratio_Dup_label_comment_hasKeyword_PR_of_all_closed_PR","num_Dup_label_comment_hasKeyword_PR_external","ratio_Dup_label_comment_hasKeyword_PR_of_external_closed_PR","num_Dup_label_comment_PR_all_hasLinkedIssue","ratio_Dup_label_comment_PR_all_hasLinkedIssue_of_all_closed_PR","num_Dup_label_comment_PR_all_hasLinkedIssue_selfSubmit","ratio_Dup_label_comment_PR_all_hasLinkedIssue_selfSubmit","num_Dup_label_comment_PR_all_preCommunicate","ratio_Dup_label_comment_PR_all_preCommunicate_of_all_closed_PR","ratio_Dup_label_comment_PR_of_all_REJECTED_PR","num_Dup_label_comment_PR_all_preCommunicate_WIP","num_Dup_label_comment_PR_external_preCommunicate_WIP","ratio_Dup_both_PR_all_preComm_wip_of_all_PR_external","num_Dup_label_comment_PR_external_WIP","ratio_Dup_label_comment_PR_external_WIP_of_all_PR_external","num_Dup_label_comment_PR_external_preComm","ratio_Dup_label_comment_PR_external_preComm_of_all_PR_external","num_Dup_label_comment_PR_WIP_external_preComm","num_Dup_both_PR_external_preComm_WIP","ratio_Dup_both_PR_external_preComm_WIP_of_all_PR_external","num_PR_all_hasLinkedIssue_selfSubmit","num_Dup_label_comment_PR_all_hasLinkedIssue_selfSubmit_WIP","num_PR_all_hasLinkedIssue_selfSubmit_WIP","ratio_Dup_label_comment_PR_all_hasLinkedIssue_selfSubmit_WIP","projectID.4","num_fork_levDistance_2","ratio_fork_levDistance_2","num_fork_levDistance_3","ratio_fork_levDistance_3","num_different_name","ratio_hardFork_withPR","num_hardFork_withPR_nameChange","ratio_hardFork_withPR_nameChange","num_hardFork_withPR","num_hardFork_PR_nameChange_onlyF","ratio_hardFork_PR_nameChange_onlyF","PRMergeRatio","NumPRs","NumForks","Size","ProjectAge","MedianSubmitterExperience","SubmitterPriorExperience","RatioPRsWithTests","CentralizedMngmtIndex","ModularityIndex","AdditiveContributionIndex","num_rejected_PR","ratio_PR_reject_external","PRHotness","SocialConnections","SubmitterSocialConnections","RatioDuplicatePRs","RatioPrecommunicatedPRs","HasHardFork"
"1",1,"twbs/bootstrap","Organization",59840,16015,8334,8834,17354,2495,0.282431514,4177,0.472832239,269,0.057787325,310,0.217918023467064,6971,678,0.473058637083994,0.480982567,0.514376273488793,0.50645234321938,1,3,5,301,"CSS",119952,NA,3,59840,2581,1,0.0426038891992551,0,0,0.0308185897272454,0,0,0.00664885112745098,0,0,0.00984286138697903,0,0.0706443532690247,0,0,0.0495116133159519,0,0,0,1,8834,4179,0.473058637083994,4581,0.52841294996604,8723,3899,111,909,525,2495,231,0.055689488,4177,0.472832239,2403,0.368954398,0.397328503,3510,17354,4824,0.517885442,0.553020749,360,0.040751641,215,0.033010901,111,0.032918149,2690,0.413020113,0,0,0.104207268,525,0.082236842,3736,909,0.104207268,6384,0.082236842,0,0,0,0,NA,525,0.226195605,2321,352,0.151658767,0.00316957,0.0044915,0,1.20796,0,1.39557,8,19.7326,1,59840,198,38,78,0.191919191,0.393939393,126386,126386,"true",61223,7373,82,0.414141414,1,0.217918023467064,7.212657,26.232475,7.212657,26.232475,5.3428154,22.880415,308,67,12849,20.099913,39.473686,9.7006235,26.203209,2.896175,10.714286,1,296,0.033933279,265,0.041510025,51,0.005846612,49,0.007675438,171,0.019603347,24,0.04173913,36,0.00412702,0.065401384,34,34,0.005325814,0,NA,34,0.064761904,NA,NA,NA,575,NA,NA,NA,1,5,0.05050505,4,0.04040404,7,NA,NA,NA,NA,0,0,0.413020113,6384,10.9994296126484,11.6948469417428,2581,0,FALSE,0.032477742840776,0.397328503,0.89285714,0.00984286138697903,3899,0.585213032581454,3.03170734067658,0.0044915,TRUE,0.041510025,0.226195605,FALSE
"2",2,"tensorflow/tensorflow","Organization",64664,34905,10812,7622,12035,1764,0.231435318,2135,0.280110207,60,0.025210084,114,0.0181552059948444,2151,238,0.68774599842561,0.693256363,0.282734190501181,0.277223825767515,2,4,15,193,"C++",180047,NA,24,21879,1019,2,0.0152555370656371,0,0,0.0392585283317609,0,0,0.0112958178804855,0,0,0.045890754979858,0,0.022408775058548,0,0,0.0619139695765638,0,0,0,2,7622,5242,0.68774599842561,5510,0.722513775911834,7397,1882,225,533,450,1764,47,0.024453694,2135,0.280110207,1590,0.289090909,0.227236945,1732,12035,5515,0.718315402,0.745572529,739,0.096956179,425,0.077272727,344,0.080505499,3820,0.694545454,1,1,0.072056239,450,0.09977827,1405,533,0.072056239,4510,0.09977827,0,0,0,0,NA,450,0.362903225,1240,146,0.117741935,0.00144319,0.00216294,0,3.04004,0,1.6752,3,19.4063,2,64664,98,31,35,0.31632653,0.357142857,106207,106207,"true",65906,8218,41,0.418367346,2,0.0181552059948444,1.6380274,1.55723,1.1127899,1.1332874,1.2076051,1.2218543,1240,930,32628,14.578366,15.812673,8.430335,7.0908875,3.1035092,3.1918097,2,82,0.011085575,55,0.012195121,8,0.001081519,7,0.001552106,38,0.005137217,11,0.028277634,13,0.001757469,0.035600425,11,11,0.002439024,0,NA,11,0.024444444,NA,NA,NA,389,NA,NA,NA,2,1,0.010204081,1,0.010204081,4,NA,NA,NA,NA,0,0,0.694545454,4510,11.0769599114137,12.1009732068999,1019,0.693147180559945,TRUE,0.0744325945296051,0.227236945,0.968081903,0.045890754979858,1882,0.311529933481153,3.01584367670341,0.00216294,TRUE,0.012195121,0.362903225,FALSE
"3",3,"angular/angular.js","Organization",28914,16941,7609,7729,8813,2672,0.345710958,2747,0.355414672,252,0.035964035,836,0.390843123197556,5926,676,0.0934144132488032,0.186440677,0.892094708241687,0.799068443524389,1,4,8,172,"JavaScript",98577,NA,21,21549,3150,3,0.0130931513061968,0,0,0.0188038598186013,0,0,0.0133142740540541,0,0,0.0163183462772182,0,0.0150052421791951,0,0,0.0216286594306826,0,0,0,3,7729,722,0.0934144132488032,3304,0.48298615603571,7617,2437,112,674,425,2672,174,0.040277777,2747,0.355414672,1385,0.267943509,0.293699055,2270,8813,5180,0.426575236,0.680057765,1207,0.156165092,552,0.106790481,143,0.062092922,3134,0.606306829,0,0,0.08848628,428,0.088393225,1922,686,0.090061704,4842,0.087773647,3,0.000619578,0,0,3,425,0.334645669,1270,195,0.153543307,0.0045284,0.00415033,0,0.978129,0,1.01845,5,18.2876,3,28914,100,38,61,0.38,0.61,58855,58855,"true",28961,4348,61,0.61,3,0.390843123197556,4.3848166,4.6032357,4.3443165,5.7942934,4.3443165,5.7942934,192,177,2780,0.9009009,0.8403362,0.49751243,0.56497175,4.124294,4.5422783,3,292,0.038335302,206,0.042544403,60,0.007877116,52,0.010739363,133,0.017460942,28,0.061674008,43,0.005645267,0.101354123,28,28,0.005782734,0,0,28,0.065882352,NA,NA,NA,454,NA,NA,NA,3,1,0.01,1,0.01,2,NA,NA,NA,NA,0,0,0.606306829,4842,10.2720811858684,11.49859324766,3150,0,FALSE,0.101464368423827,0.293699055,0.954577217,0.0163183462772182,2437,0.3969434118133,2.95946240238096,0.00415033,TRUE,0.042544403,0.334645669,FALSE
"4",5,"rails/rails","Organization",16059,45998,9896,21428,11552,5856,0.273287287,5088,0.237446331,407,0.054535709,33,0.0572388991713524,3014,430,0.65171737913011,0.65839089,0.314355049467986,0.307681538174351,2,4,7,38,"Ruby",163958,NA,25,14975,3785,5,0.019266483085702,0,0,0.0218174289923959,0,0,0.0155186415448343,0,0,0.0160055817520586,0,0.0326724095896147,0,0,0.0435897594719281,0,0,0,5,21428,13965,0.65171737913011,14870,0.699551988053015,20701,5397,727,1114,935,5856,301,0.051025597,5088,0.237446331,3471,0.224587512,0.174584655,3741,11552,15304,0.69077842,0.739287957,3899,0.181958185,3148,0.203688126,2188,0.178379259,10186,0.659074733,1,2,0.053813825,935,0.064545078,4622,1114,0.053813825,14486,0.064545078,0,0,0,0,NA,935,0.2921875,3200,338,0.105625,0.00452679,0.00282723,1,0.842533,1,1.00099,3,10.0464,5,16059,99,59,65,0.595959595,0.656565656,40341,40341,"true",16282,2648,74,0.747474747,5,0.0572388991713524,3.1682632,1.3102821,2.5261538,1.9433879,2.585207,1.966157,439,315,1027,9.562841,3.9115646,4.067151,2.2844343,10.569106,12.640029,5,492,0.023766967,382,0.026370288,47,0.002270421,40,0.002761286,233,0.011255494,39,0.051114023,57,0.00275349,0.079488604,49,49,0.003382576,0,NA,49,0.052406417,NA,NA,NA,763,NA,NA,NA,5,1,0.01010101,1,0.01010101,3,NA,NA,NA,NA,0,0,0.659074733,14486,9.68402471906149,12.0073655764468,3785,1.09861228866811,TRUE,0.185390281770698,0.174584655,0.87359971,0.0160055817520586,5397,0.319066685075245,2.40210458302686,0.00282723,TRUE,0.026370288,0.2921875,FALSE
"5",6,"heroku/node-js-sample","Organization",10673,2509,29,113,8,24,0.21238938,3,0.026548672,0,0,16,0,0,NA,0.0619469026548673,0.07079646,0.920353982300885,0.911504424778761,NA,NA,NA,NA,"JavaScript",215,NA,0,14529,2196,6,0.174242409090909,0,0,0.0909090909090909,0,0,0.25,0.25,0,0,0,0.158730142857143,0,0,0.0952380952380952,0,0,0,6,113,7,0.0619469026548673,8,0.079646017699115,111,102,2,1,1,24,0,0,3,0.026548672,1,0.009259259,0.026548672,3,8,9,0.07079646,0.081081081,0,0,0,0,0,0,5,0.046296296,0,0,0.009009009,1,0.009433962,101,1,0.009009009,106,0.009433962,0,0,0,0,NA,1,1,1,1,1,0.00884956,0.0243902,3,7.48837,3,7.80488,33,77.7561,6,10673,100,0,1,0,0.01,794,794,"true",10677,150,1,0.01,6,0,8.333334,0,8.333334,0,8.333334,0,9,2,44,8.333334,0,8.333334,0,0,0,6,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0.046296296,106,9.27547246691396,5.37063802812766,2196,0,FALSE,0,0.026548672,1,0,102,0.952830188679245,4.36635573502331,0.0243902,TRUE,0,1,FALSE
"6",7,"jquery/jquery","Organization",15623,7164,4410,2392,1659,1288,0.538461538,847,0.354096989,46,0.022104757,24,0.53830224275589,147,80,0.130016722408027,0.305602006,0.863294314381271,0.687709030100334,1,2,7,73,"JavaScript",27845,NA,NA,13915,3428,7,0.0436409074733096,0,0,0.0317796468766493,0,0,0.0212414753926702,0,0,0.0151956043294733,0,0.0444061171717172,0,0,0.0336494296214546,0,0,0,7,2392,311,0.130016722408027,887,0.445652173913043,2376,1100,16,188,69,1288,27,0.018108651,847,0.354096989,317,0.235163204,0.150919732,361,1659,1276,0.369983277,0.537037037,761,0.318143812,280,0.207715133,243,0.318897637,485,0.359792284,0,0,0.079124579,69,0.052391799,854,188,0.079124579,1317,0.052391799,0,0,0,0,NA,69,0.234693877,294,32,0.108843537,0.0154682,0.0177706,1,3.12182,1,4.2084,10,17.8449,7,15623,188,12,56,0.063829787,0.29787234,49573,49573,"true",16537,3551,56,0.29787234,7,0.53830224275589,16.755625,25.309399,12.128572,17.99723,12.128572,17.99723,196,146,4288,8.013938,7.862903,32.80112,40.455486,20.915926,27.046585,7,53,0.022306397,32,0.024297646,8,0.003367003,6,0.004555808,26,0.01094276,5,0.036764705,10,0.004208754,0.034545454,3,3,0.002277904,0,NA,3,0.04347826,NA,NA,NA,136,NA,NA,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA,1,0.010638297,0.359792284,1317,9.6564994664119,10.2344086960238,3428,0,FALSE,0.18873025465043,0.150919732,0.72953415,0.0151956043294733,1100,0.648443432042521,2.93624232025769,0.0177706,TRUE,0.024297646,0.234693877,TRUE
"7",8,"robbyrussell/oh-my-zsh","User",14644,8413,1644,4474,2400,1374,0.307107733,896,0.200268216,167,0.057965984,24,0.0124533008784056,397,183,0.356057219490389,0.361421546,0.465355386678587,0.459991059454627,NA,NA,NA,NA,"Shell",4511,NA,2,13266,3281,8,0.194645328055965,0,0,0.111373518479557,0,0,0.144882629107981,0,0,0.0983307250912885,0,0.240982462552011,0,0,0.125397926160756,0,0,0,8,4474,1593,0.356057219490389,1802,0.395395619132767,3675,1931,799,137,123,1374,135,0.069911962,896,0.200268216,828,0.188954815,0.147518998,660,2400,1744,0.389807778,0.474557823,2,0.000447027,2,0.000456412,0,0,1732,0.395253308,0,0,0.037278911,123,0.034463435,1907,137,0.037278911,3569,0.034463435,0,0,0,0,NA,123,0.175463623,701,49,0.069900142,0.0102816,0.0131707,0,0.727141,0,0.728293,0,1.90683,8,14644,192,32,70,0.166666666,0.364583333,73929,73929,"true",15055,2412,72,0.375,8,0.0124533008784056,0.3182436,0.17497814,0.8383458,0.36478984,1.0153304,0.1924722,237,127,3065,0.79787236,0,0.38948393,0.096618354,0.6289308,0,8,194,0.052789115,187,0.052395629,36,0.009795918,35,0.009806668,80,0.021768707,10,0.125,16,0.004353741,0.087519419,15,15,0.004202857,0,NA,15,0.121951219,NA,NA,NA,80,NA,NA,NA,8,1,0.010416666,1,0.010416666,2,NA,NA,NA,NA,0,0,0.395253308,3569,9.59178597424013,8.4142741374084,3281,0,FALSE,0.000456307875724209,0.147518998,1,0.0983307250912885,1931,0.534323339871112,1.06706314033458,0.0131707,TRUE,0.052395629,0.175463623,FALSE
"9",11,"mrdoob/three.js","User",15702,25697,13674,6127,8034,3411,0.556716174,1955,0.319079484,51,0.026912928,24,0.0650850153846154,1162,156,0.690713236494206,0.692345356,0.280724661335074,0.279092541211033,1,3,10,559,"JavaScript",628905,NA,4,11161,3074,11,0.0434928407157464,0,0,0.0651950781181055,0,0,0.0404630729896399,0,0,0.0463218034777323,0,0.057265512431694,0,0,0.104983806748471,0,0,0,11,6127,4232,0.690713236494206,4560,0.742614656438714,5952,1363,175,602,472,3411,32,0.022662889,1955,0.319079484,1332,0.283042923,0.267504488,1639,8034,4589,0.740982536,0.771001344,309,0.050432511,240,0.050998725,139,0.03870788,3274,0.695707607,1,2,0.101142473,472,0.104033502,1287,602,0.101142473,4537,0.104033502,0,0,0,0,NA,472,0.375497215,1257,143,0.113762927,0.00146891,0.00109951,1,2.74315,1,3.18169,5,20.6888,11,15702,100,57,59,0.57,0.59,43612,43612,"true",16452,2342,69,0.69,11,0.0650850153846154,3.1578946,5.1381693,2.1105084,3.1641178,2.3082695,3.994241,400,193,19093,19.520748,4.5454545,9.5301075,17.977528,10.631579,11.111112,11,72,0.012096774,65,0.014326647,3,0.000504032,3,0.000661229,36,0.006048387,10,0.021276595,16,0.002688172,0.04108584,12,12,0.002644919,0,NA,12,0.025423728,NA,NA,NA,470,NA,NA,NA,11,1,0.01,1,0.01,3,NA,NA,NA,NA,2,0.02,0.695707607,4537,9.6615433717582,13.3517354908896,3074,1.09861228866811,TRUE,0.0497408787637261,0.267504488,0.88888888,0.0463218034777323,1363,0.283667621776504,3.07679599827372,0.00109951,TRUE,0.014326647,0.375497215,TRUE
"10",12,"gabrielecirulli/2048","User",15822,1361,556,297,137,173,0.582491582,27,0.09090909,0,0,20,1.03421071428571,36,8,0.121212121212121,0.161616161,0.740740740740741,0.7003367003367,1,2,5,91,"CSS",567,NA,0,11110,1631,12,0.172792832352941,0,0,0.112077856783739,0,0,0.0512820384615385,0,0,0.0288461538461538,0,0.190758153061224,0,0,0.124511807164868,0,0,0,12,297,36,0.121212121212121,46,0.164983164983165,256,207,41,5,5,173,0,0,27,0.09090909,25,0.085910652,0.067340067,20,137,49,0.154882154,0.19140625,3,0.01010101,3,0.010309278,0,0,44,0.151202749,0,0,0.01953125,5,0.02,207,5,0.01953125,250,0.02,0,0,0,0,NA,5,0.238095238,21,4,0.19047619,0.003367,0.00636943,1,2.40491,1,2.43312,12,23.5796,12,15822,100,1,3,0.01,0.03,9677,9677,"true",15878,629,4,0.04,12,1.03421071428571,19.767443,41.025642,19.767443,41.025642,19.767443,41.025642,44,13,198,25.714287,10,26.877472,32.727272,36.666668,57.14286,12,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,5,NA,NA,NA,12,10,0.1,8,0.08,15,NA,NA,NA,NA,0,0,0.151202749,250,9.66915665558134,6.34035930372775,1631,0,FALSE,0.0102564998202504,0.067340067,0.4285714,0.0288461538461538,207,0.828,3.20191683061247,0.00636943,TRUE,0,0.238095238,FALSE
"11",13,"facebook/react","Organization",18130,4436,2519,6813,6034,572,0.08395714,4784,0.702186995,147,0.071048815,24,0.0831420583333333,888,271,0.696315866725378,0.715397035,0.289886980772053,0.270805812417437,1,3,10,198,"JavaScript",136069,NA,14,10805,1916,13,0.029556215648855,0,0,0.0960627999160779,0,0,0.045430496969697,0,0,0.0929705844099784,0,0.0319384673202614,0,0,0.0972738003591521,0,0,0,13,6813,4744,0.696315866725378,4918,0.725231175693527,6719,1764,94,631,276,572,110,0.06050605,4784,0.702186995,1641,0.448974008,0.341993248,2330,6034,4955,0.719360046,0.737460931,500,0.073389109,339,0.092749658,144,0.05609661,2273,0.621887824,0,0,0.093912784,308,0.095120444,1262,677,0.100759041,3238,0.085237801,34,0.010500308,2,0.000617665,34,276,0.196162046,1407,146,0.103766879,0.00954058,0.0101196,1,1.53477,1,1.48114,2,6.82797,13,18130,98,42,66,0.428571428,0.673469387,107506,107506,"true",19164,6164,67,0.683673469,13,0.0831420583333333,2.031221,3.2280989,1.5726222,2.446184,1.7192055,2.6719034,388,271,1600,2.6890757,100,3.8698916,11.433757,10.460526,10.900745,13,174,0.02589671,95,0.029339098,10,0.001488316,9,0.002779493,108,0.01607382,13,0.031400966,27,0.004018455,0.075963718,10,10,0.003088326,1,0.029411764,9,0.032608695,NA,NA,NA,414,NA,4,NA,13,NA,NA,NA,NA,3,NA,NA,NA,NA,0,0,0.621887824,3238,9.8053233037489,11.8209173889994,1916,0,FALSE,0.0886971417893779,0.341993248,0.89099255,0.0929705844099784,1764,0.389746757257566,2.05770321712996,0.0101196,TRUE,0.029339098,0.196162046,FALSE
